id,user_id,date,weight,weight_avg,cal
1,1,5/15/2015,180,182.2,2900
2,1,5/16/2015,181,181.93,2430
3,1,5/17/2015,180,181.79,3030
4,1,5/18/2015,181,181.64,2680
5,1,5/19/2015,181,181.4,2925
6,1,5/20/2015,182,181.33,2825
7,1,5/21/2015,182,181.46,2480
8,1,5/22/2015,181,181.66,2680
9,1,5/23/2015,180,181.83,2700
10,1,5/24/2015,182,181.7,2575
11,1,5/25/2015,180,181.87,2600
12,1,5/26/2015,179,181.7,2640
13,1,5/27/2015,180,181.47,3035
14,1,5/28/2015,180,181.19,2800
15,1,5/29/2015,180,180.84,2835
16,1,5/30/2015,180,180.7,2675
17,1,5/31/2015,180,180.61,2465
18,1,6/1/2015,179,180.37,2790
19,1,6/2/2015,180,180.2,2615
20,1,6/3/2015,181,180.31,2865
21,1,6/4/2015,179,180.44,2725
22,1,6/5/2015,180,180.37,2790
23,1,6/6/2015,179,180.24,2690
24,1,6/7/2015,180,180.19,2690
25,1,6/8/2015,179,180.14,2660
26,1,6/9/2015,179,180.21,2625
27,1,6/10/2015,179,180.03,2705
28,1,6/11/2015,179,179.74,2825
29,1,6/12/2015,179,179.71,2400
30,1,6/13/2015,179,179.67,2670
31,1,6/14/2015,180,179.69,2550
32,1,6/15/2015,179,179.74,3000
33,1,6/16/2015,179,179.64,2510
34,1,6/17/2015,180,179.67,2415
35,1,6/18/2015,179,179.74,2810
36,1,6/19/2015,179,179.67,2705
37,1,6/20/2015,177,179.61,2690
38,1,6/21/2015,178,179.31,2700
39,1,6/22/2015,178,179,3090
40,1,6/23/2015,177,178.9,2910
41,1,6/24/2015,177,178.53,2840
42,1,6/25/2015,179,178.17,2725
43,1,6/26/2015,178,178.21,2935
44,1,6/27/2015,177,178.07,2660
45,1,6/28/2015,178,178,2640
46,1,6/29/2015,177,178.01,2930
47,1,6/30/2015,177,177.89,2665
48,1,7/1/2015,177,177.97,2620
49,1,7/2/2015,177,177.91,2940
50,1,7/3/2015,177,177.63,2845
51,1,7/4/2015,177,177.47,2670
52,1,7/5/2015,177,177.5,2750
53,1,7/6/2015,176,177.39,3060
54,1,7/7/2015,177,177.29,2965
55,1,7/8/2015,177,177.27,2335
56,1,7/9/2015,178,177.27,3245
57,1,7/10/2015,178,177.37,2540
58,1,7/11/2015,178,177.54,2575
59,1,7/12/2015,176,177.61,2620
60,1,7/13/2015,177,177.49,3025
61,1,7/14/2015,177,177.57,3170
62,1,7/15/2015,177,177.51,2625
63,1,7/16/2015,176,177.61,2870
64,1,7/17/2015,177,177.39,2840
65,1,7/18/2015,177,177.3,2965
66,1,7/19/2015,177,177.23,2660
67,1,7/20/2015,176,177.3,2750
68,1,7/21/2015,175,177.11,2830
69,1,7/22/2015,175,176.91,3130
70,1,7/23/2015,175,176.64,3915
71,1,7/24/2015,177,176.44,3920
72,1,7/25/2015,176,176.37,3640
73,1,7/26/2015,178,176.26,3695
74,1,7/27/2015,178,176.46,2910
75,1,7/28/2015,177,176.76,3630
76,1,7/29/2015,177,177.07,2725
77,1,7/30/2015,177,177.27,3265
78,1,7/31/2015,176,177.57,4560
79,1,8/1/2015,177,177.43,3720
80,1,8/2/2015,177,177.51,3950
81,1,8/3/2015,178,177.43,3670
82,1,8/4/2015,179,177.46,3320
83,1,8/5/2015,179,177.66,3620
84,1,8/6/2015,179,177.91,3705
85,1,8/7/2015,178,178.21,3405
86,1,8/8/2015,179,178.54,2890
